Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
CALIFORNIA:  NORTHERN,37.8,-122.4,,,,
JAPAN:  ENSHUNADA SEA,34,137.9,300,3,3,4
JAPAN:  NANKAIDO,33.1,135,,3,4,4
CHINA: SICHUAN PROVINCE,29.1,107.1,,2,3,2
"FRANCE:  CAGNES, BAR, ST PAUL, GRASSE, MENTON, NICE",43.8,7.9,,2,,2
"NEW ZEALAND:  WELLINGTON,WAIOURU,WANGANUI,OTAKI",-41.25,175,,3,,3
"MEXICO:  GUERRERO,OAXACA",17,-96.3,,3,,
NEW ZEALAND,-39.2,177.6,,,,
"TURKEY:  TAYABAS, BURSA",40.2,29.1,1900,2,,
MEXICO:  OAXACA,17,-96.3,,3,,
CALIFORNIA:  NORTHERN,40.75,-124.2,,,,
PHILIPPINES:  S LUZON,16,121,,2,,
TURKEY:  BURSA,40.2,29.1,400,2,,
TURKEY:  BURSA,40.2,29.1,1300,3,,
"ALBANIA: SHKODER, BUCHATI, ZADRIME, JUBANI, KOSMACI",42,19.5,,2,,
CALIFORNIA:  LOS ANGELES,34.1,-118.1,,2,,2
INDONESIA:  MALUKU:  TERNATE ISLAND,0.8,127.3,34,2,1,2
SWITZERLAND:  HAUT-VALAIS,46.3,7.9,1,3,,
CHILE:  VALPARAISO,-33,-71.7,,,,
ALGERIA,37.1,5.7,,2,,
HONDURAS: TRUJILLO,15.91,-85.96,,3,,3
CALIFORNIA:  SAN FRANCISCO,37.8,-122.4,,,,
ENSHUNADA,34.5,137.6,,1,,1
JAPAN:  TOKYO,35.65,139.8,6757,4,4,4
JAPAN:  NANKAIDO,32.5,134.5,,,,
CHINA:  LIAONING PROVINCE,39.1,121.6,7,2,1,2
"FRANCE:  CHASTEUIL,TAULANNE,CASTELLANE,TALOIRE",43.8,6.4,,2,,
CHINA:  SICHUAN PROVINCE,29.2,108.1,,1,,1
"PORTUGAL:  TAVIRA, ALGARVE",37.1,-8,,2,,2
MEXICO:  OAXACA,17,-96.3,,3,,
CALIFORNIA:  NORTHERN,37.5,-122.3,,,,1
INDONESIA:  SANGIHE PULAU (VOLCANIC),3.67,125.5,,,4,3
ITALY:  PIEVE SANTO STEFANO,46.4,12.4,,2,,
CHINA:  HUBEI PROVINCE,29.7,108.8,300,2,3,
INDONESIA:  LOMBOK ISLAND,-8.5,116,,,,
HONDURAS:  COAST,16,-88,,3,3,3
ALGERIA:  NORTHERN,37.1,5.7,5,,1,1
ALGERIA:  NORTHERN,37.1,5.7,8,2,1,2
JAPAN:  OSHIMA,40.5,143.5,,,1,2
GREECE:  CRETE; EGYPT,35.5,26,538,3,3,3
GREECE:  CHIOS (E SPORADES),38.25,26.25,,2,2,2
"SOUTH SUDAN:  GONDOKORO, ILENGWE",4.9,31.7,,,,1
CALIFORNIA:  SAN FRANCISCO,35,-119,,3,,
IRAN:  LAKE URMIA (LAKE URMI),37.4,45.3,,3,,
TURKEY:  HINIS,38.4,42.1,,3,,3
PAPUA NEW GUINEA:  BISMARCK SEA,-5.5,147,,1,2,2
"INDONESIA:  TIMOR ISLAND::  DILHI, GERA",-8,115.5,36,2,1,2
ALGERIA:  SEA OF ALBORAN,36.5,1.3,,,,
"TOKAIDO, JAPAN",34.8,138.3,,1,,1
"ITALY:  CALABRIA,MONTEMURRO",39.4,16.4,10000,3,,
TURKEY:  BURSA,40.2,29,,2,,2
"IRAN:  TASUJ,AZARBAIJAN",38.3,45.4,,3,,
INDONESIA:  SULAWESI ISLAND:  KEMA,1.35,125.2,,,,2
INDONESIA:  SULAWESI ISLAND:  KEMA,1.35,125.2,,,,
"ITALY:  CAMPANIA, POTENZA",40.3,16,10000,4,,
SLOVAKIA:  ZILINA,49.2,18.8,,1,,
RUSSIA:  KOMANDORSKY ISLAND,55,166,,,,
"GREECE:  VIEILLE,KORINTHOS,HEXAMILIA",38,23,19,3,,
JAPAN:  HIDA:  N,36,137.5,203,2,3,2
SHINANO: TATE-YAMA VOLCANO,36.571,137.59,,,3,
CHILE:  LA SERENA,-30,-71.4,,,1,
MEXICO:  OAXACA,17,-96.3,,3,,
MEXICO:  MEXICO CITY,19.2,-99.1,,3,,3
"MYANMAR (BURMA):  THAYETMYO, PROME",19,95,,3,,3
"ALBANIA:  DELVINON, BERATI; GREECE: CORFU",40,20,12,3,1,3
BULGARIA,42.8,23.2,,,,
JAPAN:  RYUKYU ISLANDS,26.2,127.5,,,,
"ALBANIA:  VLORE, KANINA",40,20.1,,2,,
PORTUGAL:  SETUBAL,38.2,-9,6,3,1,3
"CALIFORNIA:  SAN JOSE,SAN FRANCISCO",37.5,-122,,3,,
INDONESIA:  N. MOLUCCAS ISLANDS,1,126,,1,,3
ECUADOR:  PICHINCHA,-0.3,-78.5,,3,1,3
ITALY:  CENTRAL,43.4,11.3,,,,
TURKEY:  ERZURUM,39.9,41.3,15000,3,,
AZERBAIJAN:  SHEMAKHA (SEMACHA),40.7,48.5,100,2,,
INDONESIA:  N. MOLUCCAS ISLANDS,1,126.5,,,,
INDONESIA:  LONTHOR ISLAND,-4.6,129.9,,,,
INDONESIA:  SULAWESI,0.009,125.5,,,,2
"TURKEY:  IMBROS (IMROZ), LEMNOS",40.2,25.8,,2,,2
ITALY,42.8,13.1,100,2,,
EL SALVADOR:  LA UNION; HONDURAS,13.33,-87.81,,1,,1
CALIFORNIA:  HALF MOON BAY,37.6,-122.3,,,,
"INDONESIA:  NEIRA I, LONTHOR I",-5.5,130.5,,,,
CHILE,-27.35,-70.35,10,1,1,2
S. JAVA SEA,-9,111,,,1,1
AUSTRALIA:  TASMANIA: CIRCULAR HEAD,-40.85,145.32,,,,
EL SALVADOR; GUATEMALA; NICARAGUA,13.7,-89.8,,3,,3
"INDONESIA:  SULAWESI:  MANADO, BELANG",0.9,124.9,,,,
HAITI: ANSE-A-VEAU,18.52,-73.35,,2,,2
ALBANIA:  GJIROKASTER,40,20.1,,,,
HAITI: PETIT TROU NIPPES,18.55,-73.5,,1,,1
"PERU:  LIMA, CALLAO",-12.1,-77.1,,3,,3
INDONESIA:  SULAWESI:  MINAHASSA,1.3,121,,,,
INDONESIA: HALMAHERA ISLAND,-1.25,128.5,,,,
"INDONESIA:  LAGUNDI, SIMUK, TELLO I",-1,97.5,,2,4,2
INDONESIA:  SW. SUMATRA,0.009,98,,2,3,3
"ARGENTINA:  MENDOZA, SAN LUIZ",-32.8,-68.8,14000,4,4,4
PERU,-13.8,-73.4,,,,
INDONESIA:  SW. SUMATRA,1,97.5,,,,
JAMAICA:  KINGSTON,18.5,-77.9,,2,,
ETHIOPIA:  DUBBI,13.74,41.55,,,3,3
ITALY:  CITTA DELLA PIEVE,46,12,1,2,,
INDONESIA:  SW. SUMATRA,1,97.5,,,,
"CALIFORNIA:  CONTRA COSTA,ALAMEDA COUNTIES",37.5,-122,,3,,
CHINA:  LIAONING PROVINCE,39.1,121.7,2,2,1,2
INDONESIA:  SW. SUMATRA,-1.5,100,,,,1
JAPAN:  HONSHU:  MIYAGI PREFECTURE,38.5,142,,2,,2
"GREECE:  ACHAIE,VALYMITIKA,TRIPOLIS",38.2,22.2,17,1,,
RUSSIA: LAKE BAYKAL (BAIKAL),52.3,106.7,,3,,3
"PHILIPPINES:  S LUZON ISLAND, MINDORO ISLAND",14.5,121,,1,,1
GREECE:  ARGOSTOLI (KEPHALLENIA),38.3,20.5,,2,,
"ALBANIA:  VLORE, KANINA, NARTA",40.3,19.3,,,,
CALIFORNIA:  SAN DIEGO,32.7,-117.2,,,,
TAIWAN:  TAINAN,23.4,120,2000,3,4,3
"GHANA:  ACCRA,CHRISTIANSBORG,ASHANTI,AKWAPIM",7,0.4,3,3,1,3
IRAN:  KUHRUD,35,59,,2,,
TURKEY,38.8,30.5,800,2,,
NICARAGUA:  CHINANDEGA,12.7,-87,,3,,
CHINA:  SHANXI PROVINCE,35.5,111.5,,2,2,2
IRAN:  BULGAVAR (SE ARDABIL),38.1,48.2,,2,,
INDONESIA:  JAVA,-6.1,106.7,,,,
"GREECE:  RHODES, KOS",36.5,28,300,3,3,3
CHINA:  YUNNAN PROVINCE,26,100.1,,3,3,3
"PHILIPPINES:  MANILA, RIZAL, BULACAN",14.5,121,400,4,3,4
"FRANCE:  BEYNES,MEZEL",44,6.2,,2,,
PHILIPPINES:  MANILA,14.5,121,,1,,1
INDONESIA:  JAVA:  BANYUMAS,-7.5,109.3,,2,,2
"GREECE:  KHADRA,KHIOS",38.25,26.25,,3,,3
VANUATU ISLANDS,-19,168.5,,,3,
"NW. HOKKAIDO ISLAND, JAPAN",44.6,141.5,,,,
CHINA:  XINJIANG,43.8,87.6,9,,1,
"TURKEY:  GALLIPOLI, GEMLIK",40.5,29.1,2,1,1,1
"IRAN:  NIR,ARDABIL",38,47.6,500,3,,
TURKEY:  SUHUT,38.53,30.55,800,3,,
"IRAN:  ARDABIL; AZERBAIJAN:  LENKORAN, NIAR",38.25,48.28,500,3,3,3
"IRAN:  KIRMAN, CHATRUD",30.6,57,,3,3,3
HAITI:  JACMEL,18.2,-72.53,,2,,2
INDONESIA:   IRIAN JAYA:  MANOKWARI,-1,135,,3,3,3
"OFF COAST SW AVALON PENINSULA, NEWFOUNDLAND",46.5,-53.7,,,,
"MEXICO:  PUEBLA,VERACRUZ,ACULTZINGO,ACATZINGO",17.5,-100.1,20,3,1,3
"IRAQ:  ZURBATIYAH, BADRAH, TURSAQ, BAGHDAD",33.38,45.98,100,2,2,2
PERU,-12,-77.1,,,1,1
"IRAQ:  TURAQ, JASSAN, KUT-AL-AMARAH, BAGHDAD",33.2,44.26,,2,,2
PERU:  CALLAO,,,,,,
JAPAN:  RYUKYU ISLANDS,,,,,,
CALIFORNIA:  SONOMA COUNTY:  E CENTRAL,38.5,-122.5,,2,,
"IRAN:  SHIRAZ, DARVESH-ASUH",29.6,53.1,,3,,3
INDONESIA:  JAVA:  AMBARAWA,-7.2,110.3,,2,,2
ITALY:  ETNA,37.7,15.1,60,1,,
GREECE:  MOLYVOS (LESBOS),39.4,26.2,,,,
"CALIFORNIA:  FORT HUMBOLDT, EUREKA",41,-124.5,,2,,
CALIFORNIA:  SANTA CRUZ,37.2,-121.9,,1,,1
"PHILIPPINES:  SE LUZON:  TIWI,LUBAN,RINCONADA",13.25,123.5,,2,,2
TONGA ISLANDS,-19.5,-173.5,,1,,1
"ALBANIA:  NARTA, VLORE, KANINA",40.4,19.5,60,,2,
"MEXICO:  PUEBLA, VERACRUZ",19,-98,,3,,3
GREECE:  AEGEAN SEA,38.25,26.2,,,,
GREECE: THERA ISLAND (SANTORINI),36.4,25.3,,2,,2
GREECE:  AEGEAN SEA,38.4,26,,1,,1
"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",36,23,,3,,3
"ALBANIA:  SMOKTHINE, VELCA, VLORE",40.3,19.3,60,1,2,1
NEPAL:  KATHMANDU,27.7,85.3,,2,,2
"ALASKA:  KODIAK ISLAND, AK",58,-152,,,,
ALBANIA,40.1,20.1,,2,,
PHILIPPINES:  N LUZON:  LAOAG,18.2,120.6,,2,,
ALGERIA:  EL AFFROUN,36.4,2.7,70,2,2,2
GREECE:  JANNINA (EPIRUS),39.8,20.8,,,,
GREECE:  CEPHALONIA,38.4,20.2,200,3,,
GREECE: MITILINI;  TURKEY: IZMIR,39.2,26.4,563,3,3,3
VIRGIN ISLANDS; PUERTO RICO:  SAN JUAN,18.4,-64.3,,2,,
"IRAQ:  MANDALI,JALULA,BAGHDAD",33.5,44.9,,2,,
"INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA",-7.8,110.4,5,3,1,3
GREECE:  PENINSULA OF MAINA (LACONIA),36.4,22.2,,2,2,2
VENEZUELA: ISLA DE MARGARITA,10.9,-64.1,,,,
VIRGIN ISLANDS,18.1,-65.1,,3,1,4
VIRGIN ISLANDS; PUERTO RICO,18.4,-64.3,,2,,
TAIWAN:  CHILUNG (KEELUNG),25.34,121.91,,2,3,2
IRAN:  ALHAK,36.3,56.3,,3,,
VIRGIN ISLANDS,18.1,-65.1,,,,
HAWAII:  SE OF,19,-155.5,31,1,2,2
UZBEKISTAN:  TASHKENT; KAZAKHSTAN:  TURKESTAN,41.2,69.6,,3,,
MEXICO:  GUANAJUATO,21,-101,,2,,2
TURKEY:  ERZURUM,40,41.7,,2,,
ALASKA PENINSULA,55,-161,,,,
"MEXICO:  SAN JOSE DE ITURBIDE,PUEBLA,VERACRUZ",21.2,-100.5,,2,,2
MEXICO:  ACAPULCO,16.8,-99.2,,,,
BANGLADESH:  SYLHET,24.5,91.5,,,,
MEXICO:  ACAPULCO,16.8,-99.9,,,,
CHILE:  ARICA,-18.6,-71,25000,4,4,4
VENEZUELA:  RIO CARIBE,10.7,-63.1,,,,
CHILE:  ARICA,-18.6,-71,,,,
"ECUADOR:  EL ANGEL, CONCEPCION",0.81,-77.72,,3,1,3
"ECUADOR:  GUAYAQUIL,IBARRA; COLOMBIA:  SAN PABLO",0.31,-78.18,70000,4,4,4
ITALY,37.6,15.133,,,,
CHILE:  CENTRAL,-36.7,-73.2,,,,
"PERU:  LIMA, AREQUIPA, ARICA",-17,-72.5,,1,,1
CHILE:  CENTRAL,-33.1,-71.7,,,,
,-40.2,173,,,,
GEORGIA:  SPASK,41.2,43.8,,2,,
"CALIFORNIA:  HAYWARD,SAN FRANCISCO",37.7,-122.1,30,1,1,1
CHINA:  ANHUI PROVINCE,32.4,117.8,,,2,
"COLOMBIA:  ROBADOR,SIMACOTA,BARICHARA DE CABRERA",7,-73,,2,,
"INDIA:  ASSAM:  CACHAR,SILCHAR",24.5,92.5,2,3,1,3
"CHILE:  SANTIAGO, VALPARAISO",-36.6,-73,,,,
"CHILE: VALDIVIA, CORRAl",-39.9,-73.4,,,,
CALIFORNIA:  SAN FRANCISCO,37.783,-122.417,,,,
CALIFORNIA:  SAN FRANCISCO,37.783,-122.417,,,,
"VENEZUELA:  SAN CRISTOBAL,TACHIRA (LOBATERA)",7.5,-72.1,,2,,
COLOMBIA:  BOGOTA; VENEZUELA:  SAN CRISTOBAL,7.7,-73.3,,2,,
PERU:  LIMA,-12.1,-77.1,,3,,3
"CHILE:  IQUIQUE, PISAGUA",-19.6,-70.2,,,,
NEPAL:  KATHMANDU,27.7,85.3,,4,3,4
CHILE:  COQUIMBO,-30,-71.4,,,,
"ALBANIA:  VLORE, KANINA, NARTA, HIMARA",40.3,19.3,,,,
PHILIPPINES:  MASBATE ISLAND,12.5,123.5,,3,,3
PERU:  AREQUIPA,-16.4,-73.9,,1,,1
CHILE:  IQUIQUE,-21,-70,,,,
"CHILE:  IQUIQUE, PICA; PERU:  TACNA",-19.6,-70.23,,1,,1
PHILIPPINES:  S LUZON:  MANILA; N MINDORO,13.5,121,,2,,2
"UKRAINE:  CRIMEA:  SUDAK, FEODOSIA",44.75,35,,1,,1
ALGERIA:  BISKRA,34.9,5.9,40,2,1,2
"TURKEY:  GULF OF KERAMOS, MENTESE",37,28,3,3,1,3
GREECE:  LEUKAS (IONIAN ISLANDS),38.8,20.8,15,3,1,3
CHINA:  SICHUAN PROVINCE:  BATANG,30,99,2300,4,4,4
CHILE,-22.5,-68.9,,,,
"MEXICO:  OAXACA,ZANAGUIA,SAN FRANCISCO OZOLOTEPEC",15.4,-96.3,24,3,1,3
GUADELOUPE,,,,1,,1
GUATEMALA:  CHIQUIMULILLA,14.083,-90.383,,3,,3
NICARAGUA:  LEON,12.4,-86.6,,2,,
GREECE:  CRETE; EGYPT,36,26,,1,,1
VENEZUELA:  EL TOCUYO,9.5,-69.5,3,2,,
GREECE:  ITEA DELPHI (PHOKIS),38.5,22.5,100,2,2,2
GREECE:  CRETE,,,,,,
GREECE,38.5,22.5,100,3,,
ITALY:  COSENZA,39.2,16.3,136,2,,
"CANADA:  QUEBEC: QUEBEC CITY, CHARLEVOIX",47.4,-70.5,2,1,1,1
ITALY:  TYRRHENIAN SEA,39.28,16.28,,,,
ITALY:  CALABRIA,,,,,,
"PHILIPPINES:  MINDANAO:  DAVAO,BLANCO",7,125.4,4,2,,
ITALY:  LIGURIAN COAST,,,,,,
PERU:  CHINCHA ISLANDS,-13.65,-76.4,,,,
MEXICO:  MINATITLAN,18.2,-94.5,,,,
HAWAIIAN ISLANDS,20.7,-157,,2,,2
"PHILIPPINES:  CAMIGUIN ISLAND:  MAMBAJAO,CATARMAN",9.203,124.673,,3,1,3
CALIFORNIA:  HUMBOLDT COUNTY,40.4,-124.2,,1,,1
CHILE:  CENTRAL,-35,-72.5,,3,,3
NEW YORK:  LONG ISLAND,40.5,-73.9,,,,
CHILE:  VALPARAISO,-33.1,-71.7,,,,
PERU:  CALLAO,-13,-77,,,,
VIRGIN ISLANDS:  ST. THOMAS,18.35,-64.9,,2,2,2
INDONESIA:  GORONTALO,0.5,123,,,,
BRITISH VIRGIN ISLANDS:  TORTOLA ISLAND,18.4,-64.6,,2,,2
CHILE,-20.2,-70.2,,3,1,3
"PHILIPPINES:  W MINDANAO:  COTABATO,POLLOC HARBOR",7.4,124.2,,3,,3
IRAN:  QUCHAN,37.3,58.3,2000,3,,
CHILE:  PUERTO MONTT,-41.5,-73,,,,
IRAN:  QUCHAN,37.3,58.3,4000,3,,
PERU:  AREQUIPA,-16.4,-71.5,,,,
PHILIPPINES:  AGNO,16,119,,1,,1
AZERBAIJAN:  SHEMAKHA (SEMACHA),40.6,48.7,,3,,3
GREECE:  SAGIADHA-KONISPOLIS (THESPROTIA),39.8,20.3,,3,,
JAPAN:  HONSHU:  SW,34.9,132,804,4,3,4
CALIFORNIA:  OWENS VALLEY,36.7,-118.1,27,1,1,1
"MEXICO:  OAXACA,MEXICO CITY",16.4,-96.57,,3,,
"TURKEY:  ANTAKYA (ANTIOCH), SUEDIJE",36.2,36.2,1800,3,4,3
GHANA:  ACCRA,5.5,-0.4,,2,,
IRAN:  HAMADAN,34.5,48,,3,,
ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.2,-168.5,,,,
IRAN:  SONGHOR(SONQOR),34.8,47.6,,3,,
NEW HAMPSHIRE: CONCORD,43.2,-71.53,,,,
"UKRAINE:  CARPATHIANS:  DOLGE, MARAMOROSH PROVINCE",48.4,23.3,,2,,
"PHILIPPINES:  S LUZON:  RIZAL, CAVITE; N MINDORO",13.8,121,,2,,2
JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,,,,
GREECE:  VATHY-CHORA (SAMOS),37.8,27,,,,
"EL SALVADOR:  SANTA TOMAS, SAN VICENTE",13.64,-89.13,800,4,,4
"EL SALVADOR:  SALVADOR,SAN VICENTE",13.6,-89,300,,,
ITALY:  BELLUNESE,46.2,12.4,55,2,,
"CHILE:  LIGUA, QUILLOLTA",-32.3,-71.16,,3,1,3
"ITALY:  SORA, DONATO",41.7,13.7,,3,,3
"FRANCE:  CHATEAUNEUF-DU-RHONE,DONZERE,VIVIERS",44.5,4.7,,2,,
PANAMA: PANAMA CITY,8.96,-79.53,,,,
GREECE:  VASILIKI (LEUKAS),38,23.3,,2,,2
CHILE:  ANTOFAGASTA,-23.6,-70.4,,,,
CALIFORNIA:  NORTHERN,42,-124,,1,,1
PAPUA NEW GUINEA:  MACLAY COAST,-5.5,146,,2,2,2
VENEZUELA:  LA GUAIRA (LA GUAAYRA),10.4,-66.6,,2,,
VIRGIN ISLANDS,18.1,-65.1,,,,
"MEXICO:  MORELOS,GUERRERO",28.2,-100.2,,2,,2
"TURKEY:  KEBAN,MADEN",38.8,38.8,,2,,
BANGLADESH:  BHOLA,22,89,,,4,
PHILIPPINES:  LEPANTO-BONTOC,17,120.6,,2,,
VENEZUELA:  PILAR,10.5,-63.1,,2,,
"PHILIPPINES:  MINDANAO,ZAMBOANGA,ISABELA (BASILAN)",6.8,122,,2,,
"GUATEMALA:  ANTIGUA,CHIMALTENANGO,AMATITLAN",14.5,-90.7,300,3,3,3
AFGHANISTAN,35,69,,3,,
MEXICO:  SAN CRISTOBAL DE LA BARRANCA,20.7,-103.4,25,2,1,2
S. MEXICO,20,-105,,,,
"ITALY: RIMINI, CERVIA, CESENATICO",44.2,12.4,,2,,2
NEW CALEDONIA:  LOYALTY ISLANDS:  LIFOU ISLAND,-20,168.5,,2,1,3
GREECE:  KYPARISSIA (MESSINIA),37.3,21.8,,,,
"TURKEY:  CAPALI, DINAR, CIVRIL, YAKA",38.1,30.2,1300,4,4,4
VANUATU ISLANDS,-18.5,168,,,,
TURKEY,38.7,29.4,,,,
"COLOMBIA:  CUCUTA,SAN CAYETANO,VILLA DEL ROSARIO",7.9,-72.5,1001,3,4,3
"PHILIPPINES:  SE LUZON:  NUEVA,CACERES",13.6,123.2,,2,,
GREECE:  SAMOS ISLAND,37.75,27,,2,,2
UKRAINE:  CRIMEA:  SEBASTOPOL,44.5,33.4,,2,,2
UKRAINE:  CRIMEA:  SEBASTOPOL,44.5,33.3,,,,
PHILIPPINES:  BENGUET:  LA TRINIDAD,16.3,120.3,,2,,
INDONESIA:  W JAVA:  KUNINGAN,-6.9,108.3,7,3,1,3
TURKEY,40.2,26.4,,,,
"ETHIOPIA:  ERITREA, TIGRAY",16,38.5,,3,,
PUERTO RICO:  ARECIBO,18.3,-66.4,,2,,
PAPUA NEW GUINEA:  MACLAY COAST,-6,147,,,,
TURKEY,38.8,30.5,,,,
"INDONESIA:  BURU ISLAND, CERAM SEA",-3,127.25,,1,,1
CHINA:  YUNNAN PROVINCE,25.4,99.4,,2,,2
JAPAN:  RYUKYU ISLANDS,,,,,,
HAWAII,,,,,,
CHILE:  OFF NORTH COAST,-21.5,-70.5,103,2,4,3
PERU:  CALLAO,-12.07,-77.15,,,,
CHILE:  NORTHERN:  HUANILLOS,-21.2,-70.1,,,,
CHILE:  NORTHERN,-19.6,-70.2,,,,
CHILE:  IQUIQUE,-20.2,-70.1,,,,
CHILE,-24,-71,,,,
COLOMBIA: BUENAVENTURA,3.88,-77.08,,,,
VANUATU:  TANNA ISLAND,-19,168.5,,,,1
ALASKA:  ALEUTIAN ISLANDS,,,,,,
CHILE:  TARAPACA,-19.92,-70.335,,3,1,3
PAPUA NEW GUINEA:  BISMARCK SEA,-4.25,152.25,,,1,
PERU:  CALLAO,-12,-77,,,,
COLOMBIA:  MANIZALES,5.1,-75.5,,3,,
VANUATU ISLANDS,-19,168.5,,,,
CHILE:  CENTRAL,-36.8,-73,,,,
CHILE:  NORTHERN,-20.2,-70.1,,,,
MEXICO:  JALISCO,20.3,-103.4,,3,,3
"VENEZUELA:  CUA, CHARALLAVE, SAN DIEGO",10.3,-66.8,400,3,3,3
CHILE:  NORTHERN,-20.2,-70.1,,,,
"TURKEY:  IZMIT, ESME, LABINIA",40.7,29.7,40,2,1,2
VENEZUELA:  OCUMARE DEL TUY,10.7,-66.5,,2,,
MEXICO:  BAJA CALIFORNIA,34.1,-117.3,,2,,2
CHILE:  NORTHERN,-23.7,-70.4,,,,
CHINA:  YUNNAN PROVINCE,27.7,100.8,70,3,2,3
ALASKA:  EAST ALEUTIAN ISLANDS,53.6,-166.4,,,,
VANUATU ISLANDS,-19,168.5,,,,
PHILIPPINES:  NEAR MOUNT APO,6.9,125.1,,2,,
EL SALVADOR:  JUCUAPA,13.5,-88.4,,3,3,3
BALKANS NW:  CROATIA,46.2,16.8,,,,
COTE D'IVOIRE:  ABIDJAN,6.5,-3.3,,2,,
"VENEZUELA:  CURIEPE,SAN JUAN DE LOS MORRO",9.5,-67.2,,2,,
"IRAN:  BOZQUSH, ARDABIL, GAMRUD, TARK, MANAN",37.8,47.9,2000,3,4,3
IRAN:  BOJNURD,37.5,57.4,700,3,,
PHILIPPINES:  NW MINDANAO:  SURIGAO,9.8,125.5,,4,,
CHINA:  GANSU PROVINCE,33.2,104.7,22000,4,4,4
EGYPT:  GULF OF SUEZ,29,33,,,,
ITALY,37.5,15,10,2,,
CALIFORNIA:  SAN FERNANDO,34.227,-118.433,,,,
"EL SALVADOR:  SAN SALVADOR,SOYAPANGO,ILOPANGO",13.4,-89.1,,2,,
"CUBA:  SAN CRISTOBAL,CANDELARIA",22.7,-83,,2,1,2
TURKEY:  HELEDDI,42,35.2,,2,,2
CHINA:  GANSU PROVINCE:   WENXIAN,33,104.6,8,2,1,2
TURKEY,38.6,27.1,,3,,
PHILIPPINES:  LUZON:  E,15,121.5,,2,,2
"PHILIPPINES:  S COAST LUZON:  PASIG RIVER,PAMPANGA",16,121.85,20,3,1,3
"PHILIPPINES:  SW OF LAKE BAY, MANILA",15,121.5,,3,,3
TURKEY:  IZMIR,38.1,27.8,,1,,
TURKEY,38.6,27.1,30,1,,
CHILE:  ILLAPEL,-31.62,-71.18,2,3,1,3
"IRAN:  BASTAK, JONAH",27.1,54.2,120,2,,
GISBORNE,-38.85,178.85,,,,
ALASKA PENINSULA,55.8,-155.6,,,,
ALASKA:  SOUTHEASTERN,57,-136,,,,
BALKANS NW:  CROATIA,45.9,16.1,,,,
"TOYAMA PREF., JAPAN",36.7,137.3,,,,
ARMENIA; AZERBAIJAN:  SEMACHA; SOMAKI,40.5,48.1,,,,
IRAN:  SAQQEZ,36.1,46.2,,3,,
TAIWAN:  S of XINZHU,24.5,120.7,11,2,1,2
ITALY:  ISCHIA ISLAND,40.7,13.9,121,1,,
GREECE:  KHIOS; TURKEY: CESME,38.25,26.25,7866,4,4,4
GREECE:  KHIOS,38.2,26.2,,2,,2
"NICARAGUA:  SAN JUAN DEL SUR,CHINANDEGA,MANAGUA",11.5,-86.3,,2,,
"TURKEY:  VAN,NEMRUT",38.5,43.3,95,2,,
COSTA RICA:  SAN JOSE,11,-84,,2,,
FIJI ISLANDS,-16,179,,,,
CHILE:  NORTHERN,-20.2,-70.1,,,,
CHINA:  GANSU PROVINCE,33.6,104.6,480,3,3,3
JAMAICA: KINGSTON,17.97,-76.8,,,,
GREECE:  AEGEAN SEA,38.4,26.1,,,,
IRAN:  KHVOY (KHOY),38.3,44.6,,2,,
"PHILIPPINES:  NUEVA VIZCAYA,BAYOMBONG",16.5,121.1,,2,,
TAIWAN,25,121.5,,2,2,2
TURKEY,40.6,33.6,12,1,,
PHILIPPINES:  NUEVA VIZCAYA,16.2,121.2,,2,,
JAPAN:  HOKKAIDO ISLAND,43.3,147.3,,,,
CHILE:  NORTHERN,-19.6,-70.2,,,,
TONGA ISLANDS,,,,,,
"INDIA:  ANDAMAN I,NICOBAR I",8.52,92.43,,3,,3
SRI LANKA:  TRINCOMALEE,8.567,81.233,,,,
CHILE:  NORTHERN,-33.58,-71.63,,,,
BALKANS NW:  SLOVENIA:  LJUBLJANA: W,46,14.2,,2,,
"MEXICO:  PUEBLA,HUAHUAPAN,HUAMUXTITLAN,XALPATLAHUAC",17.5,-98.3,7,3,1,3
ITALY,40.9,14.4,11,1,,
PANAMA: SAN BLAS ARCHIPELAGO,10,-79,,3,3,3
CHILE:  PISAGUA,-19.6,-70.2,,,,
INDONESIA:  BANDANEIRA,-4.5,129.9,,,,
CHINA:  HEBEI PROVINCE,38.1,115.5,11,3,1,3
TAIWAN:  ZHANGHUA,23.8,120.5,8,1,1,1
"COLOMBIA:  ANTIOQUIA, YARUMAL",7.4,-76.9,,1,,1
IRAN:  TABRIZ,38.1,46.3,,3,3,3
CHINA:  SHANXI PROVINCE,37.9,112.5,,2,,2
"ITALY:  ISCHIA IS: CASAMICCIOLA, FORINO, LACCO AMENO",40.7,13.9,2313,4,4,4
"TURKEY:  AYVALIK, IZMIR, CESME",38.3,26.2,15000,4,4,4
"IRAN:  KANGAN,TAHERI (TAHIRI)",27.5,52.3,,2,,2
FIJI:  MACUATA,-16,179,,1,,1
TAIWAN:  JIAYI,23.5,120.4,,2,,2
