Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,,,
ALBANIA:  DURRES,41.3,19.5,,2,,2
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,40000,4,4,4
ITALY:  CAMPANIA,40.5,14.5,,,,
CHINA:  HENAN PROVINCE,35.4,114.3,101,,3,
TURKEY:  DARDANELLES,40.3,26.5,,3,,3
ALBANIA:  DURRES (DYRRACHIUM),41.4,19.4,,2,,2
LEBANON:  BAYRUT (BEROUTH),33.9,35.5,,3,,3
TURKEY,41,30,,,,
"TURKEY:  IZMIT,NICOMEDIA",40.7,29.7,,3,,
"TURKEY:  IZNIK, IZMIT [NICOMEDIA]",40.77,29.9,,3,3,3
BALKANS NW:  MACEDONIA:  STOBI,41.6,21.5,,4,,
JORDAN:  AL-KARAK,31.3,35.6,,3,,3
TURKEY,41,29.5,,,,
GREECE:  CRETE:  KNOSSOS,35,23,,4,4,4
"TURKEY:  IZNIK,NICAEA",40.7,29.7,1000,3,,
TURKEY:  NICAEA [IZNIK],40,29,,3,,3
TURKEY:  MARMARA SEA,40.5,29.6,,2,,2
ITALY:  BENEVENTO,41.1,14.8,,,,
PORTUGAL:  CABO SAN VICENTE:  SW,36,-10.83,,,,
TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,3,,
TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,3,,
TURKEY:  MARMARA SEA,41,29,,1,,1
TUNISIA:  UTIQUE,37.067,10.067,,,,
ISRAEL:  PALESTINE,31.2,34.2,,3,,
"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT",31.9,34.9,,3,,3
AZERBAIJAN,40.5,46.5,,3,,
GREECE:  CRETE,35.5,25.5,,,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),41,29,,3,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,28.5,,3,3,3
GREECE:  CRETE,35,25,,,,
INSTANBUL (CONSTANTINOPLE),40.4,28.4,,,,
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,4,,4
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,80000,3,4,3
THAILAND:  YONOK-NAGABANDHU,20.3,100,,3,3,3
"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",44.4,4.3,,3,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),41,29,,3,,
TURKEY:  MARMARA SEA,40.8,29.2,,,,
LEBANON:  TARABULUS (TRIPOLIS); SYRIA,34.3,35.5,,3,,
CHINA:  JIANGSU PROVINCE,32.1,118.8,,2,,2
KAZAKHSTAN,42.7,76.5,,3,,
NORTH KOREA:  PYONGYANG,39,125.3,,2,,
SOUTH KOREA:  KYONGJU,35.5,129.1,,2,3,2
CHINA:  SHAANXI PROVINCE:  YINGXIAN,39.4,113.3,5130,4,4,4
"BALKANS NW:  MACEDONIA:  SKOPJE, STAMER",42,21.4,,4,,
"GREECE:  DURRES,KORINTHOS",39.6,21.2,,3,,
SYRIA,36.2,36.1,,3,,
ALBANIA:  DURRES,41.2,19.3,,,,
"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",36.25,36.1,250000,4,4,4
GREECE-ALBANIA,40.1,20.8,,,,
TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,4870,4,4,4
SYRIA:  ALEPPO,36.2,37.2,130000,,4,
TURKEY:  CYZICUS,40.3,27.8,,3,3,3
GREECE:  MALIAKOS GULF,,,,,,
"GREECE:  SCHISMA, BOETIA",38.4,22.3,5000,4,4,4
LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA,33.9,35.5,,4,4,4
SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH),36.1,37.1,,3,,
LEBANON:  BAYRUT (BEIRUT),33.9,35.5,,3,,
GREECE: KOS,36.8,27.3,,2,3,2
TURKEY:  ISTANBUL (CONSTANTINOPLE),41.04,28.98,,,,
TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,3,,3
TURKEY:  MARMARA SEA,40.9,27.6,,,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),40.9,27.6,,,,
TURKEY,40.9,28.8,,,,
ITALY:  ANCONA,43.6,13.5,,3,,3
TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,30000,,,
BALKANS NW:  SLOVENIA,45.6,15.3,,,,
TURKEY:  ANTAKYA (ANTIOCH),36,36,,3,,
TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,3,,
TURKEY:  ANTAKYA (ANTIOCH),36.25,36.1,60000,4,4,4
CHINA:  SHAANXI PROVINCE,34.3,108.9,101,2,3,2
ITALY,41,15,1000,3,,
IRAN:  TABRIZ,38,46.2,,3,,
CHINA:  SHAANXI PROVINCE:  LINFEN,36.1,111.5,50,2,1,2
"IRAN:  QUMIS:  SEMNAN,DAMGHAN",35.3,54,40000,3,,
SOUTH KOREA:  KYONGJU,35.5,129.1,,3,,
IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS,35,43.5,,3,,
JAPAN,32.5,134,,3,3,3
TURKEY:  IZMIR,38.4,27.2,2000,3,,
JAPAN:  KYOTO PREFECTURE,35.7,135.4,,,,
JAPAN:  KUMANONADA,33.8,136.7,,,,
TURKEY:  ANTAKYA (ANTIOCH),36,36,,3,,
TURKEY:  IZNIK,40.4,28.9,,2,,
TURKEY:  ANTAKYA (ANTIOCH),36,36,,2,,
CHINA:  GANSU PROVINCE:  TIANSHUI,34.6,105.6,101,2,3,2
ARMENIA:  BAYOTSDZOR,39.7,45.5,,2,,
TURKEY:  ISTANBUL (CONSTANTINOPLE),40.7,29.3,,3,3,3
SYRIA;  ISRAEL; ASIA,35,38,,3,,
IRAN:  EIVAN-E-KAY,35.3,52.2,,3,,3
RUSSIA:  CASPIAN SEA,42.1,48.2,,1,,1
"JAPAN:  SHIMABARA, YATSUSHIRO, HIGO",32.4,130.5,,,4,2
JAPAN:  MINO,35.5,136.9,,3,,3
JAPAN: OSAKA BAY,34.6,135.3,,,3,
"ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO)",32,35.5,,3,,3
SYRIA:  DIMASHQ (DAMASCUS),33.5,36.3,,2,,
IRAQ:  JAZIRAH:  NE OF THARTHAR RIVER,35,43.5,,3,,
ISRAEL:  PALESTINE; SYRIA:  HALAB; TURKEY:  ANTAKYA,31.2,34.2,,2,,
IRAN:  KHURASAN,33.3,59.3,,,,
JAPAN:  N. KAGOSHIMA BAY,31.6,130.7,,,3,
"CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN",37.8,115.2,200,2,3,2
CHINA:  HUNAN PROVINCE: HOANG KIN CHAN,28.1,111.4,,,3,
ITALY:  TREVISO,45.4,12.2,48,2,,
SOUTH KOREA:  KYONGJU,35.5,129.1,100,2,3,2
"CHINA:  SHAANXI PROVINCE:  ANKANG, FANGXIAN",32.5,109.4,,2,,2
ITALY:  VERONA,45.5,11,,3,3,3
GREECE:  CRETE,35,25,,,,
ITALY:  ROMA (ROME),41.9,12.6,,3,,3
ITALY:  PADOVA,45.4,11.9,,,,
TURKEY: GULF OF ISKENDERUN,36.95,35.6,,1,,1
UNITED KINGDOM:  SCOTLAND:  ST ANDREWS,56.3,-2.8,1400,3,4,3
CHINA:  SICHUAN PROVINCE:  XICHANG,27.9,102.2,101,1,3,1
AFGHANISTAN; INDIA:  HINDU-KUSH; KAZAHKSTAN:  BALKHA,36.8,66.2,,3,3,3
JAPAN:  TOKKAIDO,35.2,139.3,,2,3,2
CHINA:  SHAANXI PROVINCE:  FAN CHONG,37.4,112.6,20,,1,
TURKEY:  ANTAKYA (ANTIOCH),36,36,,3,,
UZBEKISTAN:  FERGANA,40.4,71.3,15000,4,,
UNITED KINGDOM:  CHANNEL ISLANDS; GAUL,49.5,-2.5,,1,,1
SYRIA:  DIMASHQ (DAMASCUS); TURKEY:  ANTAKYA,33.5,36.3,50000,4,,
IRAQ:  AL-MAWSIL,36.2,43.1,50000,,,
TURKEY:  ANTAKYA; LEBANON:  HIMS; IRAQ:  MOSUL,36.1,36.1,,3,,3
"ITALY:  MOLISE, ISERNIA",41.6,14.2,,3,,3
SYRIA:  DIMASHQ (DAMASCUS),33.5,36.3,,2,,2
IRAQ:  AL-MAWSIL,36.21,42.08,70000,3,4,3
IRAN:  REY (RAY),35.3,51.2,45000,3,4,
"JAPAN:  YOMAGATA, SHONAI",39,139.9,,,3,2
ARMENIA:  DVIN,40,44.6,12000,,4,
ITALY:  BOIANO,41.5,14.5,,,,
"TUNISIA:  KAIROUAN, TUNIS",35.7,10.1,,3,,3
ARMENIA:  TOVIN,40,45,2000,3,4,3
"FRANCE:  CAMBRAI,TOURNAI,MAYENCE",50.1,3.1,,2,,
IRAN:  REY (RAY),35.3,51.2,,3,3,3
ARMENIA:  DVIN,40,44.6,,3,2,3
TUNISIA:  TUNIS,36.8,10.2,45000,4,4,4
"IRAN:  DAMGHAN, QUMIS",36.2,54.3,200000,4,4,4
"GREECE:  KORINTHOS,PATRAI (PATRAS)",37.9,22.9,45000,,4,
EGYPT,,,,2,,2
